,Open,Close*,Previous Day Close,S&P Open,Nikkei Close
2025,5812.2,5758.1,5766.6,1405.5,9380.25
2026,5737.8,5812.2,5758.1,1397.86,9350.95
2027,5748.7,5777.1,5737.8,1400.19,9520.89
2028,5718.9,5748.7,5777.1,1390.64,9561.83
2029,5709.5,5718.9,5748.7,1372.11,9561.01
2030,5665.6,5709.5,5718.9,1366.97,9468.04
2031,5772.2,5665.6,5709.5,1378.53,9542.17
2032,5744.6,5772.2,5665.6,1376.96,9561.36
2033,5745.3,5744.6,5772.2,1385.08,9588.38
2034,5767.0,5745.3,5744.6,1390.78,9667.26
2035,5666.3,5767.0,5745.3,1369.57,9464.71
2036,5651.8,5666.3,5767.0,1370.27,9470.64
2037,5710.5,5651.8,5666.3,1387.61,9637.99
2038,5634.7,5710.5,5651.8,1368.77,9524.79
2039,5595.6,5634.7,5710.5,1358.98,9458.74
2040,5723.7,5595.6,5634.7,1382.18,9538.02
2041,5703.8,5723.7,5595.6,1398.79,9767.61
2042,5838.3,5703.8,5723.7,1413.09,9819.99
2043,5874.9,5838.3,5703.8,1418.98,10050.39
2044,5768.5,5874.9,5838.3,1408.47,10109.87
2045,5742.0,5768.5,5874.9,1403.31,10083.56
2046,5809.0,5742.0,5768.5,1405.39,10114.79
2047,5869.6,5809.0,5742.0,1412.52,10182.57
2048,5902.7,5869.6,5809.0,1416.55,10255.15
2049,5854.9,5902.7,5869.6,1397.11,10018.24
2050,5845.7,5854.9,5902.7,1392.78,10011.47
2051,5892.0,5845.7,5854.9,1402.89,10127.08
2052,5891.4,5892.0,5845.7,1405.52,10086.49
2053,5965.6,5961.1,5891.4,1404.17,10141.99
2054,5940.7,5965.6,5961.1,1402.55,10129.83
2055,5945.4,5940.7,5965.6,1394.17,10123.28
2056,5955.9,5945.4,5940.7,1395.95,10050.52
2057,5892.8,5955.9,5945.4,1371.92,9899.08
2058,5887.5,5892.8,5955.9,1370.78,9889.86
2059,5859.7,5887.5,5892.8,1365.97,9929.74
2060,5791.4,5859.7,5887.5,1352.65,9768.96
2061,5765.8,5791.4,5859.7,1343.39,9576.06
2062,5874.8,5765.8,5791.4,1363.63,9637.63
2063,5911.1,5874.8,5765.8,1369.59,9698.59
2064,5931.3,5911.1,5874.8,1374.09,9777.03
2065,5871.5,5931.3,5911.1,1365.9,9707.37
2066,5927.9,5871.5,5931.3,1372.2,9723.24
